      Start         | gemeldet |        Ende         | gemeldet | Dauer
09.06.2016 10:24:01 |   rac4   | 09.06.2016 10:27:01 |   rac3   | 180 Sekunden
11.06.2016 12:21:01 |   rac3   | 11.06.2016 12:24:01 |   rac4   | 180 Sekunden
21.06.2016 19:36:01 |   rac4   | 21.06.2016 19:39:01 |   rac3   | 180 Sekunden
21.06.2016 20:57:01 |   rac3   | 21.06.2016 21:00:01 |   rac4   | 180 Sekunden
29.06.2016 22:09:01 |   rac3   | 29.06.2016 22:15:01 |   rac3   | 360 Sekunden
14.07.2016 17:36:01 |   rac4   | 14.07.2016 17:39:01 |   rac3   | 180 Sekunden
24.07.2016 12:21:01 |   rac3   | 24.07.2016 12:27:01 |   rac3   | 360 Sekunden
18.08.2016 02:57:01 |   rac3   | 18.08.2016 03:03:01 |   rac3   | 360 Sekunden
18.08.2016 04:15:01 |   rac3   | 18.08.2016 04:21:01 |   rac3   | 360 Sekunden
25.08.2016 00:06:01 |   rac4   | 25.08.2016 00:15:01 |   rac3   | 540 Sekunden
26.08.2016 02:15:01 |   rac3   | 26.08.2016 02:21:01 |   rac3   | 360 Sekunden
01.09.2016 01:21:01 |   rac3   | 01.09.2016 01:24:01 |   rac4   | 180 Sekunden
13.09.2016 16:09:01 |   rac3   | 13.09.2016 16:15:01 |   rac3   | 360 Sekunden
13.09.2016 20:09:01 |   rac3   | 13.09.2016 20:15:01 |   rac3   | 360 Sekunden
13.09.2016 20:21:01 |   rac3   | 13.09.2016 20:24:01 |   rac4   | 180 Sekunden
21.09.2016 16:09:01 |   rac3   | 21.09.2016 16:15:01 |   rac3   | 360 Sekunden
01.10.2016 00:48:01 |   rac4   | 01.10.2016 00:51:01 |   rac3   | 180 Sekunden
01.10.2016 02:15:01 |   rac3   | 01.10.2016 02:21:01 |   rac3   | 360 Sekunden
01.10.2016 02:54:01 |   rac4   | 01.10.2016 02:57:01 |   rac3   | 180 Sekunden
01.10.2016 03:33:01 |   rac3   | 01.10.2016 03:39:01 |   rac3   | 360 Sekunden
21.10.2016 12:21:01 |   rac3   | 21.10.2016 12:24:01 |   rac4   | 180 Sekunden
23.10.2016 02:09:01 |   rac3   | 23.10.2016 02:15:01 |   rac3   | 360 Sekunden
27.10.2016 18:09:01 |   rac3   | 27.10.2016 18:15:01 |   rac3   | 360 Sekunden
01.11.2016 01:18:01 |   rac4   | 01.11.2016 01:21:01 |   rac3   | 180 Sekunden
01.11.2016 02:33:01 |   rac3   | 01.11.2016 02:36:01 |   rac4   | 180 Sekunden
11.11.2016 12:18:01 |   rac4   | 11.11.2016 12:21:01 |   rac3   | 180 Sekunden
11.11.2016 20:09:01 |   rac3   | 11.11.2016 20:15:01 |   rac3   | 360 Sekunden
16.11.2016 04:06:01 |   rac4   | 16.11.2016 04:18:01 |   rac4   | 720 Sekunden
20.11.2016 12:18:01 |   rac4   | 20.11.2016 12:24:01 |   rac4   | 360 Sekunden
21.11.2016 12:21:01 |   rac3   | 21.11.2016 12:24:01 |   rac4   | 180 Sekunden
23.11.2016 08:09:01 |   rac3   | 23.11.2016 08:15:01 |   rac3   | 360 Sekunden
23.11.2016 22:30:01 |   rac4   | 23.11.2016 22:36:01 |   rac4   | 360 Sekunden
27.11.2016 12:21:01 |   rac3   | 27.11.2016 12:27:01 |   rac3   | 360 Sekunden
29.11.2016 10:03:01 |   rac3   | 29.11.2016 10:15:01 |   rac3   | 720 Sekunden
30.11.2016 18:09:01 |   rac3   | 30.11.2016 18:15:01 |   rac3   | 360 Sekunden
01.12.2016 00:48:01 |   rac4   | 01.12.2016 00:54:01 |   rac4   | 360 Sekunden
01.12.2016 01:33:01 |   rac3   | 01.12.2016 01:39:01 |   rac3   | 360 Sekunden
01.12.2016 02:03:01 |   rac3   | 01.12.2016 02:09:01 |   rac3   | 360 Sekunden
06.12.2016 12:21:01 |   rac3   | 06.12.2016 12:24:01 |   rac4   | 180 Sekunden
08.12.2016 05:54:01 |   rac4   | 08.12.2016 06:09:01 |   rac3   | 900 Sekunden
22.12.2016 16:09:01 |   rac3   | 22.12.2016 16:15:01 |   rac3   | 360 Sekunden
